method,path,label,predicted_label,correct,baseline_correct,baseline_prediction,class_name,change
DAN-DG lambda=0.1,sketch/elephant/5922.png,1,2,False,True,1,elephant,introduced_error
DAN-DG lambda=0.1,sketch/elephant/5923.png,1,6,False,True,1,elephant,introduced_error
DAN-DG lambda=0.1,sketch/giraffe/7364.png,2,2,True,False,1,giraffe,corrected
DAN-DG lambda=0.1,sketch/giraffe/7385.png,2,6,False,True,2,giraffe,introduced_error
DAN-DG lambda=0.1,sketch/giraffe/7391.png,2,6,False,True,2,giraffe,introduced_error
DAN-DG lambda=0.1,sketch/giraffe/7396.png,2,0,False,True,2,giraffe,introduced_error
DAN-DG lambda=0.1,sketch/giraffe/7400.png,2,2,True,False,1,giraffe,corrected
DAN-DG lambda=0.1,sketch/giraffe/7408.png,2,2,True,False,1,giraffe,corrected
DAN-DG lambda=0.1,sketch/guitar/7601.png,3,3,True,False,6,guitar,corrected
DAN-DG lambda=0.1,sketch/guitar/7602.png,3,3,True,False,1,guitar,corrected
DAN-DG lambda=0.1,sketch/guitar/7603.png,3,3,True,False,1,guitar,corrected
DAN-DG lambda=0.1,sketch/guitar/7621.png,3,2,False,True,3,guitar,introduced_error
DAN-DG lambda=0.1,sketch/guitar/7623.png,3,2,False,True,3,guitar,introduced_error
DAN-DG lambda=0.1,sketch/guitar/7643.png,3,1,False,True,3,guitar,introduced_error
DAN-DG lambda=0.1,sketch/horse/8484.png,4,0,False,True,4,horse,introduced_error
DAN-DG lambda=0.1,sketch/horse/8485.png,4,0,False,True,4,horse,introduced_error
DAN-DG lambda=0.1,sketch/horse/8486.png,4,6,False,True,4,horse,introduced_error
DAN-DG lambda=0.1,sketch/horse/8489.png,4,4,True,False,1,horse,corrected
DAN-DG lambda=0.1,sketch/horse/8543.png,4,4,True,False,1,horse,corrected
DAN-DG lambda=0.1,sketch/horse/8549.png,4,4,True,False,1,horse,corrected
DAN-DG lambda=0.1,sketch/house/8806.png,5,5,True,False,1,house,corrected
DAN-DG lambda=0.1,sketch/house/8808.png,5,5,True,False,1,house,corrected
DAN-DG lambda=0.1,sketch/house/8817.png,5,6,False,True,5,house,introduced_error
DAN-DG lambda=0.1,sketch/house/8821.png,5,5,True,False,1,house,corrected
DAN-DG lambda=0.1,sketch/house/8825.png,5,6,False,True,5,house,introduced_error
DAN-DG lambda=0.1,sketch/house/8846.png,5,6,False,True,5,house,introduced_error
DAN-DG lambda=0.1,sketch/person/12082.png,6,6,True,False,1,person,corrected
DAN-DG lambda=0.1,sketch/person/12083.png,6,6,True,False,1,person,corrected
DAN-DG lambda=0.1,sketch/person/12084.png,6,6,True,False,1,person,corrected
DAN-DG lambda=0.1,sketch/person/12103.png,6,2,False,True,6,person,introduced_error
DAN-DG lambda=10,sketch/dog/5288.png,0,6,False,True,0,dog,introduced_error
DAN-DG lambda=10,sketch/dog/5297.png,0,6,False,True,0,dog,introduced_error
DAN-DG lambda=10,sketch/dog/5301.png,0,6,False,True,0,dog,introduced_error
DAN-DG lambda=10,sketch/elephant/5921.png,1,6,False,True,1,elephant,introduced_error
DAN-DG lambda=10,sketch/elephant/5922.png,1,6,False,True,1,elephant,introduced_error
DAN-DG lambda=10,sketch/elephant/5923.png,1,6,False,True,1,elephant,introduced_error
DAN-DG lambda=10,sketch/giraffe/7361.png,2,6,False,True,2,giraffe,introduced_error
DAN-DG lambda=10,sketch/giraffe/7362.png,2,6,False,True,2,giraffe,introduced_error
DAN-DG lambda=10,sketch/giraffe/7363.png,2,6,False,True,2,giraffe,introduced_error
DAN-DG lambda=10,sketch/guitar/7604.png,3,6,False,True,3,guitar,introduced_error
DAN-DG lambda=10,sketch/guitar/7605.png,3,6,False,True,3,guitar,introduced_error
DAN-DG lambda=10,sketch/guitar/7606.png,3,6,False,True,3,guitar,introduced_error
DAN-DG lambda=10,sketch/horse/8484.png,4,6,False,True,4,horse,introduced_error
DAN-DG lambda=10,sketch/horse/8485.png,4,6,False,True,4,horse,introduced_error
DAN-DG lambda=10,sketch/horse/8486.png,4,6,False,True,4,horse,introduced_error
DAN-DG lambda=10,sketch/house/8802.png,5,6,False,True,5,house,introduced_error
DAN-DG lambda=10,sketch/house/8804.png,5,6,False,True,5,house,introduced_error
DAN-DG lambda=10,sketch/house/8805.png,5,6,False,True,5,house,introduced_error
DAN-DG lambda=10,sketch/person/12082.png,6,6,True,False,1,person,corrected
DAN-DG lambda=10,sketch/person/12083.png,6,6,True,False,1,person,corrected
DAN-DG lambda=10,sketch/person/12084.png,6,6,True,False,1,person,corrected
